,alpha_asset,beta_asset,h_ratio,spread,ar_proc,h_ratio std,h_ratio_mean,spread std,spread mean
0,2.0,4.610456952027611,1.8029024427251537,1.0026075931172898,-0.0010855620332374744,0.002,1.8,0.002,1
1,2.0078539008887115,4.627419793760995,1.8036976689674133,1.003085720102744,-0.00024256802131951346,0.002,1.8,0.002,1
2,2.0157073173118207,4.641891546021218,1.8047225205881146,1.006468648825548,0.0006432651367636024,0.002,1.8,0.002,1
3,2.0235597648336103,4.656705831723553,1.8039802342421456,1.004021866987408,-0.0008417867307243608,0.002,1.8,0.002,1
4,2.0314107590781285,4.662513844360277,1.803120321944343,1.0008243668713381,-0.0009334018610074719,0.002,1.8,0.002,1
5,2.0392598157590687,4.676532082979815,1.803980618759798,0.9997324049531263,-0.0010671630191556177,0.002,1.8,0.002,1
6,2.047106450709643,4.698841031028777,1.805889892755541,0.9998625865551908,-0.0007861227744325227,0.002,1.8,0.002,1
7,2.0549501799124457,4.710038781729749,1.8055507608557027,0.9981857306023082,8.783266690146172e-05,0.002,1.8,0.002,1
8,2.0627905195293135,4.716530798521495,1.8037143606118116,0.9986489688384719,-0.0018935705515124718,0.002,1.8,0.002,1
9,2.070626985931167,4.734504147662067,1.8049748557756886,0.9966361914009925,0.0005677459417762212,0.002,1.8,0.002,1
10,2.078459095727845,4.757546952104201,1.8090288247287758,0.9964915562092778,-0.00022421386964411157,0.002,1.8,0.002,1
11,2.0862863657979234,4.770873636536505,1.8087601538213074,1.0010281956103766,-0.0018071398070298845,0.002,1.8,0.002,1
12,2.094108313318514,4.782176554537433,1.8070926113901928,1.0014628537981018,-0.0010419964747964082,0.002,1.8,0.002,1
13,2.10192445579505,4.793859991080329,1.8033029410539678,1.003212079028663,-0.0007720804396277134,0.002,1.8,0.002,1
14,2.1097343110910454,4.8056749848997065,1.8029150219645544,1.0022217927598398,-0.0016644125925216883,0.002,1.8,0.002,1
15,2.1175373974578378,4.818046532930483,1.8028002891043198,1.0016087251146741,-0.0018241198151766349,0.002,1.8,0.002,1
16,2.1253332335643043,4.833178590278327,1.8028261092179252,1.0008423428268165,-0.0014797467101370194,0.002,1.8,0.002,1
17,2.133121338526552,4.851977288074141,1.8052657584400682,0.9992073857808123,-0.00029078719541828825,0.002,1.8,0.002,1
18,2.140901231937583,4.870643882834978,1.805905535481618,1.000399941075714,0.0022539593518407165,0.002,1.8,0.002,1
