,alpha_asset,beta_asset,h_ratio,spread,ar_proc,h_ratio std,h_ratio_mean,spread std,spread mean
0,2.0,4.5988769685664215,1.8014365671518635,1.0013651540129993,-0.00455714589640043,0.002,1.8,0.002,1
1,2.0078539008887115,4.628165482919812,1.8019961127945872,1.0016617131426278,0.007543949988639891,0.002,1.8,0.002,1
2,2.0157073173118207,4.65344403009044,1.803725642765431,1.0029628800368475,0.01595474651491817,0.002,1.8,0.002,1
3,2.0235597648336103,4.669336285328151,1.8064196142824407,1.0040675796738914,0.013333717862653176,0.002,1.8,0.002,1
4,2.0314107590781285,4.683949231492417,1.806003986474371,1.0034478626789527,0.009023405822143022,0.002,1.8,0.002,1
5,2.0392598157590687,4.690736033082775,1.8056665167265347,1.0003794646621402,0.0069806703748634515,0.002,1.8,0.002,1
6,2.047106450709643,4.689727412736034,1.8009676905692993,0.996300620156685,0.008029603032868517,0.002,1.8,0.002,1
7,2.0549501799124457,4.7042086820980265,1.799115832450266,0.9934161455596331,0.012317255682240489,0.002,1.8,0.002,1
8,2.0627905195293135,4.683598676685618,1.8002528892379122,0.9929717892734392,-0.017899810353190285,0.002,1.8,0.002,1
9,2.070626985931167,4.707074810742653,1.8015756629750004,0.9924177733189133,-0.017271731977274003,0.002,1.8,0.002,1
10,2.078459095727845,4.712380732926495,1.801830181324931,0.990641600842831,-0.021246952582626304,0.002,1.8,0.002,1
11,2.0862863657979234,4.718805139397235,1.8055285143336504,0.9926555430275583,-0.03750686565126155,0.002,1.8,0.002,1
12,2.094108313318514,4.7381721972416475,1.8064680452154653,0.9926703119034898,-0.03636697794533337,0.002,1.8,0.002,1
13,2.10192445579505,4.753356512889233,1.808563790327591,0.9918366200165066,-0.03691048109021614,0.002,1.8,0.002,1
14,2.1097343110910454,4.779833154284796,1.808262938879024,0.9938936557776382,-0.02867432236521642,0.002,1.8,0.002,1
15,2.1175373974578378,4.785498131482541,1.8080214914493598,0.997443110365876,-0.040919654891037466,0.002,1.8,0.002,1
16,2.1253332335643043,4.842771999486596,1.8086169044860483,0.9954012506707083,0.0025260540259182604,0.002,1.8,0.002,1
17,2.133121338526552,4.864294349287422,1.8099126922513187,0.9933466185639865,0.013178375518415001,0.002,1.8,0.002,1
18,2.140901231937583,4.895077152838809,1.8123020873251698,0.9920735602903075,0.023935178274516043,0.002,1.8,0.002,1
19,2.148672433896923,4.898590575599449,1.8104389896907749,0.9958981921110058,0.01190443364836363,0.002,1.8,0.002,1
20,2.1564344650402307,4.916192452427884,1.8119834805503838,0.9962461714280362,0.013869012306277718,0.002,1.8,0.002,1
21,2.164186846568863,4.909189115590445,1.8123329161285566,0.9930895288067911,-0.008677424601075357,0.002,1.8,0.002,1
22,2.1719291002794097,4.941297773518785,1.8164350256021315,0.9953704503127715,0.0021103498638318906,0.002,1.8,0.002,1
