,alpha_asset,beta_asset,h_ratio,spread,h_ratio std,h_ratio_mean,spread std,spread mean
0,3,6.400071732193022,1.8003548415870754,0.9980677488400309,0.002,1.8,0.002,1
1,3,6.394241342628099,1.7990480155068882,0.9980348412784653,0.002,1.8,0.002,1
2,3,6.400011558545995,1.8008479696485447,0.9988193475495643,0.002,1.8,0.002,1
3,3,6.383807851187654,1.796198074425787,0.9976164190201916,0.002,1.8,0.002,1
4,3,6.379652132911941,1.7947640283196156,0.9978132342869771,0.002,1.8,0.002,1
5,3,6.392559505716493,1.7973099368253216,0.9982019409987246,0.002,1.8,0.002,1
6,3,6.392431877649223,1.7975543592239982,0.9983243849694119,0.002,1.8,0.002,1
7,3,6.391239100571877,1.797581648124378,0.9962790226081838,0.002,1.8,0.002,1
8,3,6.376075713622398,1.7944234513416442,0.9928542548190362,0.002,1.8,0.002,1
9,3,6.373721169782003,1.7931822742485406,0.9947774285128458,0.002,1.8,0.002,1
10,3,6.367312611641179,1.7915279817862944,0.991362114347313,0.002,1.8,0.002,1
11,3,6.361743491348162,1.7898775623753285,0.9920155562490472,0.002,1.8,0.002,1
12,3,6.353643765309013,1.7885437731008098,0.990780299322962,0.002,1.8,0.002,1
13,3,6.363529298625338,1.7909056107873884,0.9878358038904193,0.002,1.8,0.002,1
14,3,6.3694712001011355,1.7942768820344492,0.9872571817625484,0.002,1.8,0.002,1
15,3,6.37739296042845,1.7950104510044615,0.9913886541636397,0.002,1.8,0.002,1
16,3,6.378245595831945,1.7954191833843702,0.9937221159656694,0.002,1.8,0.002,1
17,3,6.381763696737294,1.7963084305260715,0.9924167682453949,0.002,1.8,0.002,1
18,3,6.374223174787333,1.7941563956718676,0.995924320687381,0.002,1.8,0.002,1
19,3,6.384634676710886,1.795811871107128,0.9943597878740736,0.002,1.8,0.002,1
20,3,6.385311169802709,1.7971265259323175,0.9933374116709544,0.002,1.8,0.002,1
21,3,6.38650845486367,1.7970962901556682,0.9947096526976045,0.002,1.8,0.002,1
22,3,6.390293207017804,1.7985187940702014,0.9920829505967215,0.002,1.8,0.002,1
23,3,6.37924326841316,1.7959900893931515,0.9935900639025198,0.002,1.8,0.002,1
24,3,6.393903413904543,1.7996718745599651,0.9946870269577794,0.002,1.8,0.002,1
25,3,6.395963381973127,1.8002445992554115,0.9932055146739783,0.002,1.8,0.002,1
26,3,6.406983278249148,1.8049584003881145,0.9921638064443097,0.002,1.8,0.002,1
27,3,6.414208699296634,1.8061799348672054,0.993141035879597,0.002,1.8,0.002,1
28,3,6.414244401766868,1.8075173890510052,0.991623608105054,0.002,1.8,0.002,1
29,3,6.420285355407973,1.8100890686594184,0.9910488568873373,0.002,1.8,0.002,1
30,3,6.422938937789763,1.8101706254951553,0.9908499835030105,0.002,1.8,0.002,1
31,3,6.414990118401407,1.8098624934577108,0.9878727694010672,0.002,1.8,0.002,1
32,3,6.419569563649215,1.810162982819715,0.989566022634849,0.002,1.8,0.002,1
33,3,6.4134840199914676,1.8078735989752892,0.9882336388962173,0.002,1.8,0.002,1
34,3,6.418166769566381,1.8084532431782825,0.9897984417542773,0.002,1.8,0.002,1
35,3,6.42478053710556,1.8090350520947964,0.9931278608061664,0.002,1.8,0.002,1
36,3,6.4237744019657,1.8097363744900181,0.9948506531273317,0.002,1.8,0.002,1
37,3,6.4325014269486624,1.8118476790402893,0.9982705622519081,0.002,1.8,0.002,1
38,3,6.433247740411176,1.8113007839245316,0.9998710433106255,0.002,1.8,0.002,1
39,3,6.435644272890204,1.8098908000731635,1.0015814022703629,0.002,1.8,0.002,1
40,3,6.437472016947598,1.810798071488531,1.0032575869677813,0.002,1.8,0.002,1
41,3,6.437844704097617,1.812172809572245,1.0003481604468076,0.002,1.8,0.002,1
42,3,6.424446736762632,1.8088637042190687,0.9998812847689312,0.002,1.8,0.002,1
43,3,6.429501903891803,1.8086629337143227,1.000962224433046,0.002,1.8,0.002,1
44,3,6.423673314431513,1.8098504493833572,0.9986221774388769,0.002,1.8,0.002,1
45,3,6.4299931993441115,1.8112906928152666,0.9959492322915547,0.002,1.8,0.002,1
46,3,6.426788049041479,1.811950054909036,0.9926673859559642,0.002,1.8,0.002,1
47,3,6.438604640553238,1.8149210283205595,0.9941415193120013,0.002,1.8,0.002,1
48,3,6.440225669608037,1.8147687189258106,0.9955000264171033,0.002,1.8,0.002,1
49,3,6.44702762118016,1.815777081598109,0.9969356079312011,0.002,1.8,0.002,1
50,3,6.456094905965795,1.821663084472187,0.9940467700887258,0.002,1.8,0.002,1
51,3,6.448640396915777,1.8195138871033338,0.9948551222776483,0.002,1.8,0.002,1
52,3,6.449909371372503,1.8190249914627663,0.9930071994191844,0.002,1.8,0.002,1
53,3,6.454156087101546,1.8203535640631343,0.9919932486261592,0.002,1.8,0.002,1
54,3,6.450000869208913,1.8186504861121264,0.9936926657156548,0.002,1.8,0.002,1
55,3,6.450455940646709,1.8186776240089388,0.9916294821281326,0.002,1.8,0.002,1
56,3,6.452696802880516,1.8193846429966472,0.9936744615439956,0.002,1.8,0.002,1
57,3,6.45851852421275,1.820158769226236,0.994826886490458,0.002,1.8,0.002,1
58,3,6.461687740922174,1.8215068260832248,0.9959328308246788,0.002,1.8,0.002,1
59,3,6.453071346422416,1.8198869235624062,0.9955862202195835,0.002,1.8,0.002,1
60,3,6.457233037945059,1.8216997568531685,0.994697150833577,0.002,1.8,0.002,1
61,3,6.44866728167469,1.818589495410457,0.9923730136576419,0.002,1.8,0.002,1
62,3,6.45305569288565,1.8213245807457832,0.9899816999363089,0.002,1.8,0.002,1
63,3,6.446362767933889,1.8208036012478837,0.9873089514830194,0.002,1.8,0.002,1
64,3,6.449865952601785,1.8194514777302229,0.9906091893942351,0.002,1.8,0.002,1
65,3,6.452858534816738,1.8204942956890489,0.9904004740159007,0.002,1.8,0.002,1
66,3,6.439713127933858,1.8167385208726483,0.9903233714766754,0.002,1.8,0.002,1
67,3,6.43449777708994,1.8133817320253345,0.991485739942016,0.002,1.8,0.002,1
68,3,6.416734694542017,1.8099493414040255,0.9901752916705079,0.002,1.8,0.002,1
69,3,6.424715579433783,1.8115174835322365,0.9928688164570079,0.002,1.8,0.002,1
70,3,6.4314191805562455,1.8131920010704845,0.9923833712323716,0.002,1.8,0.002,1
71,3,6.432564861037599,1.8131487495061034,0.99073050467115,0.002,1.8,0.002,1
72,3,6.430538799562665,1.813346767476475,0.990810759065513,0.002,1.8,0.002,1
73,3,6.427728806678767,1.814495281694358,0.9876565968534388,0.002,1.8,0.002,1
74,3,6.427408919097516,1.8135163028523864,0.9860856592421186,0.002,1.8,0.002,1
75,3,6.4341349946928315,1.8147672232887608,0.9872754347072396,0.002,1.8,0.002,1
76,3,6.435405282506986,1.8167023469520511,0.9865689766452351,0.002,1.8,0.002,1
77,3,6.434778073722349,1.8162410358144374,0.9850319547140876,0.002,1.8,0.002,1
78,3,6.437322642390003,1.8174470338827584,0.9857881064068338,0.002,1.8,0.002,1
79,3,6.445678310390295,1.819826934493692,0.9864288532561131,0.002,1.8,0.002,1
80,3,6.4381988300904265,1.8180754338163048,0.9872638482075458,0.002,1.8,0.002,1
81,3,6.433941350959487,1.8161134198376854,0.9898837685792349,0.002,1.8,0.002,1
